volume,DateTime
2562890,2018-06-20
2569212,2018-06-21
2298098,2018-06-22
5407421,2018-06-25
2690814,2018-06-26
6335395,2018-06-27
5285802,2018-06-28
7694371,2018-06-29
4579718,2018-07-02
1367814,2018-07-03
2605662,2018-07-05
2942161,2018-07-06
4775363,2018-07-09
3426772,2018-07-10
3781287,2018-07-11
3444871,2018-07-12
3122705,2018-07-13
2224098,2018-07-16
2322582,2018-07-17
3603936,2018-07-18
3220915,2018-07-19
4868554,2018-07-20
1880195,2018-07-23
2253020,2018-07-24
3310845,2018-07-25
4088761,2018-07-26
2798143,2018-07-27
4929771,2018-07-30
3588979,2018-07-31
2679918,2018-08-01
2327589,2018-08-02
2257880,2018-08-03
2988646,2018-08-06
5084693,2018-08-07
3483848,2018-08-08
2385494,2018-08-09
3290460,2018-08-10
3350506,2018-08-13
3217646,2018-08-14
3849143,2018-08-15
3367951,2018-08-16
2975882,2018-08-17
1853387,2018-08-20
2667495,2018-08-21
2124552,2018-08-22
3325680,2018-08-23
2451902,2018-08-24
3759731,2018-08-27
3556431,2018-08-28
2806114,2018-08-29
4669411,2018-08-30
4983154,2018-08-31
3480540,2018-09-04
7530358,2018-09-05
3839069,2018-09-06
5450954,2018-09-07
2767746,2018-09-10
3015630,2018-09-11
2634441,2018-09-12
1818048,2018-09-13
2616866,2018-09-14
2466908,2018-09-17
2520105,2018-09-18
2354185,2018-09-19
3987758,2018-09-20
3918931,2018-09-21
3412796,2018-09-24
3341870,2018-09-25
4082398,2018-09-26
2628263,2018-09-27
5172114,2018-09-28
3455458,2018-10-01
2927462,2018-10-02
3473880,2018-10-03
3837253,2018-10-04
4367926,2018-10-05
5377355,2018-10-08
5886812,2018-10-09
8209472,2018-10-10
10570083,2018-10-11
7286819,2018-10-12
3517730,2018-10-15
5113423,2018-10-16
5944881,2018-10-17
4418461,2018-10-18
3043342,2018-10-19
3852812,2018-10-22
5541442,2018-10-23
5209154,2018-10-24
4590456,2018-10-25
7153776,2018-10-26
6301811,2018-10-29
9531085,2018-10-30
7040669,2018-10-31
3428666,2018-11-01
3391853,2018-11-02
5606377,2018-11-05
2430853,2018-11-06
7669455,2018-11-07
7660605,2018-11-08
5327382,2018-11-09
3787077,2018-11-12
5396796,2018-11-13
4614907,2018-11-14
6163850,2018-11-15
3803888,2018-11-16
3555680,2018-11-19
6274124,2018-11-20
4247135,2018-11-21
1660892,2018-11-23
3187151,2018-11-26
4565124,2018-11-27
5484695,2018-11-28
4901319,2018-11-29
7603587,2018-11-30
5885427,2018-12-03
6727840,2018-12-04
8536303,2018-12-06
6089359,2018-12-07
8522734,2018-12-10
4526472,2018-12-11
3879381,2018-12-12
5215783,2018-12-13
6080506,2018-12-14
9320620,2018-12-17
10267622,2018-12-18
13166466,2018-12-19
13684373,2018-12-20
14262694,2018-12-21
6418996,2018-12-24
13154113,2018-12-26
12693625,2018-12-27
10856339,2018-12-28
10117850,2018-12-31
5979978,2019-01-02
5831148,2019-01-03
6430121,2019-01-04
5961329,2019-01-07
5348489,2019-01-08
4096967,2019-01-09
4325625,2019-01-10
5111675,2019-01-11
3709898,2019-01-14
3781811,2019-01-15
4387484,2019-01-16
4447232,2019-01-17
6994452,2019-01-18
5992314,2019-01-22
6762413,2019-01-23
3731726,2019-01-24
3333897,2019-01-25
4425122,2019-01-28
4454068,2019-01-29
5117188,2019-01-30
6521786,2019-01-31
3901763,2019-02-01
2960496,2019-02-04
4051261,2019-02-05
3962753,2019-02-06
6678041,2019-02-07
2909309,2019-02-08
2770345,2019-02-11
4285413,2019-02-12
2994362,2019-02-13
7159715,2019-02-14
4844237,2019-02-15
4588556,2019-02-19
5534256,2019-02-20
3118702,2019-02-21
4962953,2019-02-22
4699300,2019-02-25
4881387,2019-02-26
3283771,2019-02-27
4166078,2019-02-28
4203983,2019-03-01
4811792,2019-03-04
2502411,2019-03-05
3411727,2019-03-06
4553771,2019-03-07
5315808,2019-03-08
3843676,2019-03-11
2089572,2019-03-12
2804810,2019-03-13
2396395,2019-03-14
3132437,2019-03-15
3786222,2019-03-18
5845617,2019-03-19
4672069,2019-03-20
3615191,2019-03-21
6540753,2019-03-22
4726544,2019-03-25
4222924,2019-03-26
3437318,2019-03-27
2380749,2019-03-28
4331266,2019-03-29
4170709,2019-04-01
7162276,2019-04-02
3438957,2019-04-03
3422406,2019-04-04
3928527,2019-04-05
2492437,2019-04-08
3990718,2019-04-09
2879179,2019-04-10
2581449,2019-04-11
2516226,2019-04-12
3124788,2019-04-15
3759112,2019-04-16
4342988,2019-04-17
4367515,2019-04-18
2879501,2019-04-22
4574652,2019-04-23
2568684,2019-04-24
1839123,2019-04-25
2160488,2019-04-26
2986573,2019-04-29
4549392,2019-04-30
2952102,2019-05-01
3279870,2019-05-02
3160515,2019-05-03
2792430,2019-05-06
5262951,2019-05-07
5810008,2019-05-08
4281181,2019-05-09
4329369,2019-05-10
5831706,2019-05-13
3202835,2019-05-14
3135635,2019-05-15
3911224,2019-05-16
3833735,2019-05-17
2515977,2019-05-20
3634882,2019-05-21
3147661,2019-05-22
4419359,2019-05-23
1809862,2019-05-24
2455572,2019-05-28
6641224,2019-05-29
3840044,2019-05-30
5428476,2019-05-31
5589736,2019-06-03
3598917,2019-06-04
4674039,2019-06-05
4294539,2019-06-06
3180251,2019-06-07
3862913,2019-06-10
2923455,2019-06-11
2310269,2019-06-12
2304977,2019-06-13
2000184,2019-06-14
2511178,2019-06-17
4622740,2019-06-18
7606221,2019-06-19
