volume,DateTime
443071,2018-06-20
292002,2018-06-21
589788,2018-06-22
865821,2018-06-25
497230,2018-06-26
597525,2018-06-27
535937,2018-06-28
740935,2018-06-29
889804,2018-07-02
310724,2018-07-03
476492,2018-07-05
584279,2018-07-06
421243,2018-07-09
557886,2018-07-10
317999,2018-07-11
665216,2018-07-12
384320,2018-07-13
572213,2018-07-16
322457,2018-07-17
280671,2018-07-18
483613,2018-07-19
208327,2018-07-20
206256,2018-07-23
1505295,2018-07-24
447647,2018-07-25
377104,2018-07-26
301317,2018-07-27
303802,2018-07-30
1085687,2018-07-31
405390,2018-08-01
383336,2018-08-02
309505,2018-08-03
398230,2018-08-06
451561,2018-08-07
277255,2018-08-08
291628,2018-08-09
319400,2018-08-10
1100274,2018-08-13
286796,2018-08-14
396467,2018-08-15
366553,2018-08-16
275573,2018-08-17
399877,2018-08-20
345151,2018-08-21
331614,2018-08-22
273605,2018-08-23
206487,2018-08-24
1752963,2018-08-27
1666631,2018-08-28
767837,2018-08-29
399375,2018-08-30
376171,2018-08-31
718236,2018-09-04
430405,2018-09-05
579305,2018-09-06
474649,2018-09-07
443911,2018-09-10
1394090,2018-09-11
2768846,2018-09-12
1525745,2018-09-13
423334,2018-09-14
372363,2018-09-17
478315,2018-09-18
514846,2018-09-19
438991,2018-09-20
397517,2018-09-21
380025,2018-09-24
432223,2018-09-25
920138,2018-09-26
598044,2018-09-27
444383,2018-09-28
1042736,2018-10-01
522622,2018-10-02
637208,2018-10-03
964285,2018-10-04
1082015,2018-10-05
486245,2018-10-08
607850,2018-10-09
1317694,2018-10-10
2233615,2018-10-11
1854727,2018-10-12
1018543,2018-10-15
905795,2018-10-16
801485,2018-10-17
894804,2018-10-18
712983,2018-10-19
602993,2018-10-22
1527932,2018-10-23
1818095,2018-10-24
3390091,2018-10-25
2564440,2018-10-26
2543187,2018-10-29
2557469,2018-10-30
3480325,2018-10-31
4104028,2018-11-01
2029028,2018-11-02
834143,2018-11-05
624934,2018-11-06
941234,2018-11-07
634693,2018-11-08
519720,2018-11-09
746409,2018-11-12
829261,2018-11-13
931064,2018-11-14
1253758,2018-11-15
854040,2018-11-16
947610,2018-11-19
1282321,2018-11-20
683265,2018-11-21
151177,2018-11-23
607945,2018-11-26
596103,2018-11-27
818157,2018-11-28
528744,2018-11-29
689621,2018-11-30
1288587,2018-12-03
1194496,2018-12-04
2091261,2018-12-06
1373133,2018-12-07
1664985,2018-12-10
712112,2018-12-11
670510,2018-12-12
654225,2018-12-13
982674,2018-12-14
1721153,2018-12-17
2950149,2018-12-18
2041309,2018-12-19
2758569,2018-12-20
2648454,2018-12-21
1472733,2018-12-24
2744420,2018-12-26
2794666,2018-12-27
2426126,2018-12-28
3096170,2018-12-31
1783340,2019-01-02
1738915,2019-01-03
1308073,2019-01-04
1055104,2019-01-07
1192748,2019-01-08
1142360,2019-01-09
1420604,2019-01-10
1932998,2019-01-11
754711,2019-01-14
891727,2019-01-15
764594,2019-01-16
947663,2019-01-17
1057984,2019-01-18
3144127,2019-01-22
1446333,2019-01-23
1128049,2019-01-24
922532,2019-01-25
1084728,2019-01-28
809540,2019-01-29
1086062,2019-01-30
1924048,2019-01-31
1213911,2019-02-01
803778,2019-02-04
1752650,2019-02-05
661459,2019-02-06
1118169,2019-02-07
785931,2019-02-08
457854,2019-02-11
1003621,2019-02-12
804018,2019-02-13
703765,2019-02-14
742227,2019-02-15
1337686,2019-02-19
700365,2019-02-20
547503,2019-02-21
729839,2019-02-22
696608,2019-02-25
701328,2019-02-26
636108,2019-02-27
1382989,2019-02-28
911092,2019-03-01
1636765,2019-03-04
314161,2019-03-05
512189,2019-03-06
1083090,2019-03-07
1117478,2019-03-08
641809,2019-03-11
636863,2019-03-12
724831,2019-03-13
326424,2019-03-14
491330,2019-03-15
608842,2019-03-18
734071,2019-03-19
1057337,2019-03-20
722171,2019-03-21
920116,2019-03-22
661652,2019-03-25
523828,2019-03-26
771167,2019-03-27
737126,2019-03-28
782898,2019-03-29
1259559,2019-04-01
722409,2019-04-02
912049,2019-04-03
1785913,2019-04-04
851902,2019-04-05
836027,2019-04-08
535540,2019-04-09
471402,2019-04-10
462904,2019-04-11
456717,2019-04-12
423300,2019-04-15
544652,2019-04-16
463182,2019-04-17
529797,2019-04-18
474549,2019-04-22
530168,2019-04-23
573663,2019-04-24
564503,2019-04-25
518894,2019-04-26
365905,2019-04-29
671808,2019-04-30
866586,2019-05-01
600465,2019-05-02
440898,2019-05-03
522557,2019-05-06
1552551,2019-05-07
903700,2019-05-08
637263,2019-05-09
977695,2019-05-10
1197559,2019-05-13
827609,2019-05-14
870952,2019-05-15
700083,2019-05-16
684788,2019-05-17
410897,2019-05-20
423039,2019-05-21
651461,2019-05-22
972942,2019-05-23
715467,2019-05-24
552558,2019-05-28
735159,2019-05-29
705319,2019-05-30
1224470,2019-05-31
1346032,2019-06-03
659489,2019-06-04
579349,2019-06-05
518449,2019-06-06
663393,2019-06-07
391813,2019-06-10
436263,2019-06-11
1950871,2019-06-12
959749,2019-06-13
308672,2019-06-14
287787,2019-06-17
564842,2019-06-18
610867,2019-06-19
