volume,DateTime
560082,2018-06-20
647588,2018-06-21
532365,2018-06-22
1560535,2018-06-25
831806,2018-06-26
1022170,2018-06-27
1257525,2018-06-28
768511,2018-06-29
1497191,2018-07-02
893330,2018-07-03
719472,2018-07-05
939000,2018-07-06
923883,2018-07-09
13570521,2018-07-10
773501,2018-07-11
1631219,2018-07-12
798684,2018-07-13
740443,2018-07-16
648369,2018-07-17
583461,2018-07-18
742928,2018-07-19
647089,2018-07-20
971560,2018-07-23
971679,2018-07-24
1201049,2018-07-25
724640,2018-07-26
1059967,2018-07-27
1169494,2018-07-30
649982,2018-07-31
1255739,2018-08-01
892310,2018-08-02
1058301,2018-08-03
741188,2018-08-06
933629,2018-08-07
613864,2018-08-08
670775,2018-08-09
689522,2018-08-10
1302907,2018-08-13
1083655,2018-08-14
947803,2018-08-15
983945,2018-08-16
682030,2018-08-17
1878462,2018-08-20
919340,2018-08-21
632359,2018-08-22
771797,2018-08-23
812530,2018-08-24
957412,2018-08-27
894035,2018-08-28
816299,2018-08-29
894999,2018-08-30
979469,2018-08-31
846423,2018-09-04
1191082,2018-09-05
1230215,2018-09-06
1683654,2018-09-07
732650,2018-09-10
780243,2018-09-11
748536,2018-09-12
679025,2018-09-13
947794,2018-09-14
696610,2018-09-17
1097383,2018-09-18
672039,2018-09-19
901951,2018-09-20
928314,2018-09-21
1009844,2018-09-24
636716,2018-09-25
957044,2018-09-26
744698,2018-09-27
727104,2018-09-28
2753047,2018-10-01
1075373,2018-10-02
1679927,2018-10-03
1376985,2018-10-04
2029068,2018-10-05
1565420,2018-10-08
1123106,2018-10-09
1724249,2018-10-10
5871486,2018-10-11
4397688,2018-10-12
1610170,2018-10-15
961050,2018-10-16
1351029,2018-10-17
1011029,2018-10-18
1126826,2018-10-19
978896,2018-10-22
2422252,2018-10-23
2310911,2018-10-24
1896270,2018-10-25
4625391,2018-10-26
2958943,2018-10-29
3788675,2018-10-30
1234681,2018-10-31
3180900,2018-11-01
2686480,2018-11-02
1361577,2018-11-05
1270890,2018-11-06
1824757,2018-11-07
1613562,2018-11-08
818136,2018-11-09
1025948,2018-11-12
2176458,2018-11-13
1182039,2018-11-14
1676646,2018-11-15
1149926,2018-11-16
1384816,2018-11-19
2685378,2018-11-20
929151,2018-11-21
785064,2018-11-23
1098787,2018-11-26
799403,2018-11-27
1349429,2018-11-28
1523887,2018-11-29
1107040,2018-11-30
1550200,2018-12-03
2579699,2018-12-04
2439555,2018-12-06
2185275,2018-12-07
2338169,2018-12-10
2086772,2018-12-11
1651599,2018-12-12
1733054,2018-12-13
2422625,2018-12-14
3366174,2018-12-17
3199605,2018-12-18
2706596,2018-12-19
5808745,2018-12-20
6141345,2018-12-21
4701622,2018-12-24
6233390,2018-12-26
5051710,2018-12-27
3977049,2018-12-28
4337268,2018-12-31
3844300,2019-01-02
2508060,2019-01-03
3618294,2019-01-04
2314772,2019-01-07
1482608,2019-01-08
1407572,2019-01-09
1253659,2019-01-10
2391042,2019-01-11
1225962,2019-01-14
1089954,2019-01-15
1243036,2019-01-16
1889467,2019-01-17
2308786,2019-01-18
2845001,2019-01-22
1334248,2019-01-23
1679792,2019-01-24
1310381,2019-01-25
2096844,2019-01-28
1032353,2019-01-29
1153043,2019-01-30
1706118,2019-01-31
1560777,2019-02-01
1224151,2019-02-04
1124281,2019-02-05
996352,2019-02-06
1218967,2019-02-07
764062,2019-02-08
1895496,2019-02-11
946429,2019-02-12
926859,2019-02-13
942048,2019-02-14
643412,2019-02-15
1109661,2019-02-19
821335,2019-02-20
629246,2019-02-21
1021126,2019-02-22
1213157,2019-02-25
891835,2019-02-26
864249,2019-02-27
959745,2019-02-28
1316185,2019-03-01
1203475,2019-03-04
2437468,2019-03-05
1562564,2019-03-06
1302087,2019-03-07
1246535,2019-03-08
1206954,2019-03-11
893931,2019-03-12
1008208,2019-03-13
1040366,2019-03-14
994003,2019-03-15
849999,2019-03-18
1032443,2019-03-19
930943,2019-03-20
794723,2019-03-21
1184836,2019-03-22
1624555,2019-03-25
1409860,2019-03-26
1450937,2019-03-27
785310,2019-03-28
1104843,2019-03-29
1703251,2019-04-01
1212613,2019-04-02
1979173,2019-04-03
1010783,2019-04-04
935057,2019-04-05
1003866,2019-04-08
1331145,2019-04-09
578035,2019-04-10
681765,2019-04-11
558458,2019-04-12
1128114,2019-04-15
4152500,2019-04-16
1115182,2019-04-17
633197,2019-04-18
1078058,2019-04-22
1026293,2019-04-23
781360,2019-04-24
653260,2019-04-25
904894,2019-04-26
614517,2019-04-29
716147,2019-04-30
1485691,2019-05-01
917143,2019-05-02
1292284,2019-05-03
910773,2019-05-06
1442046,2019-05-07
1057585,2019-05-08
1268913,2019-05-09
1919736,2019-05-10
1628443,2019-05-13
933282,2019-05-14
856186,2019-05-15
946762,2019-05-16
691206,2019-05-17
896485,2019-05-20
597234,2019-05-21
604593,2019-05-22
1126291,2019-05-23
700439,2019-05-24
735214,2019-05-28
1550933,2019-05-29
1312028,2019-05-30
1115423,2019-05-31
4863828,2019-06-03
1109094,2019-06-04
1477812,2019-06-05
936279,2019-06-06
764134,2019-06-07
890600,2019-06-10
625275,2019-06-11
880270,2019-06-12
767419,2019-06-13
682456,2019-06-14
1132814,2019-06-17
997612,2019-06-18
949638,2019-06-19
