volume,DateTime
53785486,2018-06-20
71061404,2018-06-21
56612003,2018-06-22
137854162,2018-06-25
68683211,2018-06-26
105110674,2018-06-27
76650517,2018-06-28
97592499,2018-06-29
63554774,2018-07-02
42187071,2018-07-03
56925919,2018-07-05
66493696,2018-07-06
50550399,2018-07-09
51966829,2018-07-10
77054739,2018-07-11
60124687,2018-07-12
48234964,2018-07-13
48201038,2018-07-16
52315500,2018-07-17
44593465,2018-07-18
61412117,2018-07-19
82372729,2018-07-20
47047565,2018-07-23
68026935,2018-07-24
78882927,2018-07-25
57919495,2018-07-26
76783177,2018-07-27
63742508,2018-07-30
68570493,2018-07-31
53853326,2018-08-01
63426363,2018-08-02
53935386,2018-08-03
39400887,2018-08-06
43196646,2018-08-07
42114551,2018-08-08
35716976,2018-08-09
77076044,2018-08-10
65732909,2018-08-13
43842031,2018-08-14
102925355,2018-08-15
69967919,2018-08-16
65618481,2018-08-17
39807490,2018-08-20
67271983,2018-08-21
44993333,2018-08-22
49204851,2018-08-23
57487399,2018-08-24
57072377,2018-08-27
46943472,2018-08-28
61485514,2018-08-29
61229501,2018-08-30
66140838,2018-08-31
57594367,2018-09-04
72452437,2018-09-05
65909863,2018-09-06
73524824,2018-09-07
50210903,2018-09-10
50530492,2018-09-11
59810758,2018-09-12
51034222,2018-09-13
55079875,2018-09-14
68244043,2018-09-17
61930407,2018-09-18
49080562,2018-09-19
100360646,2018-09-20
105479656,2018-09-21
53409645,2018-09-24
44370037,2018-09-25
79739674,2018-09-26
59249455,2018-09-27
70091385,2018-09-28
62078937,2018-10-01
47258227,2018-10-02
64694594,2018-10-03
111545910,2018-10-04
105951698,2018-10-05
87742172,2018-10-08
74338982,2018-10-09
214731042,2018-10-10
274840491,2018-10-11
183186492,2018-10-12
102263717,2018-10-15
118255834,2018-10-16
110625987,2018-10-17
134557525,2018-10-18
139901634,2018-10-19
82415812,2018-10-22
146352719,2018-10-23
177806697,2018-10-24
138061545,2018-10-25
201574596,2018-10-26
160749101,2018-10-29
157115995,2018-10-30
128296325,2018-10-31
99495037,2018-11-01
122634107,2018-11-02
65622482,2018-11-05
60085894,2018-11-06
102752099,2018-11-07
65584886,2018-11-08
98812561,2018-11-09
99673574,2018-11-12
98176610,2018-11-13
125335931,2018-11-14
135101437,2018-11-15
126668040,2018-11-16
103061706,2018-11-19
136021311,2018-11-20
75563743,2018-11-21
42807878,2018-11-23
79981362,2018-11-26
75502441,2018-11-27
127629633,2018-11-28
82346420,2018-11-29
98204190,2018-11-30
103017719,2018-12-03
177986013,2018-12-04
204185411,2018-12-06
161018923,2018-12-07
151445885,2018-12-10
121504431,2018-12-11
97976706,2018-12-12
96662717,2018-12-13
116961071,2018-12-14
165492257,2018-12-17
134515094,2018-12-18
214992763,2018-12-19
252053377,2018-12-20
255345633,2018-12-21
147311588,2018-12-24
218485360,2018-12-26
186267342,2018-12-27
153100189,2018-12-28
144299370,2018-12-31
126925199,2019-01-02
144140692,2019-01-03
142628834,2019-01-04
103139100,2019-01-07
102512587,2019-01-08
95006554,2019-01-09
96823923,2019-01-10
73858110,2019-01-11
70908227,2019-01-14
85208271,2019-01-15
77636710,2019-01-16
96118435,2019-01-17
127900303,2019-01-18
115531183,2019-01-22
86030287,2019-01-23
59204139,2019-01-24
96883358,2019-01-25
85613655,2019-01-28
66136334,2019-01-29
92473671,2019-01-30
104012073,2019-01-31
85782524,2019-02-01
60744844,2019-02-04
79552774,2019-02-05
58347791,2019-02-06
95481961,2019-02-07
75788861,2019-02-08
68021423,2019-02-11
72270221,2019-02-12
65277204,2019-02-13
83234396,2019-02-14
97088659,2019-02-15
59120804,2019-02-19
76610767,2019-02-20
64214727,2019-02-21
78114616,2019-02-22
69030699,2019-02-25
56844101,2019-02-26
56921570,2019-02-27
69268293,2019-02-28
78880548,2019-03-01
106494637,2019-03-04
59114559,2019-03-05
75039771,2019-03-06
94885089,2019-03-07
85795799,2019-03-08
65098897,2019-03-11
79667530,2019-03-12
80639153,2019-03-13
67518366,2019-03-14
81308979,2019-03-15
62199806,2019-03-18
90268121,2019-03-19
84609210,2019-03-20
79550375,2019-03-21
122659286,2019-03-22
85575197,2019-03-25
68125920,2019-03-26
72224722,2019-03-27
56238545,2019-03-28
82186806,2019-03-29
77617945,2019-04-01
40070351,2019-04-02
68243202,2019-04-03
48997505,2019-04-04
58621729,2019-04-05
53566335,2019-04-08
66142316,2019-04-09
52601499,2019-04-10
55093100,2019-04-11
69727782,2019-04-12
49596685,2019-04-15
52153197,2019-04-16
58268295,2019-04-17
68708513,2019-04-18
40160140,2019-04-22
52246633,2019-04-23
50392914,2019-04-24
57770862,2019-04-25
50916423,2019-04-26
57197747,2019-04-29
81111733,2019-04-30
71671870,2019-05-01
65030170,2019-05-02
56543653,2019-05-03
107198069,2019-05-06
144729908,2019-05-07
91568287,2019-05-08
103471104,2019-05-09
112429293,2019-05-10
127290527,2019-05-13
77003230,2019-05-14
73956407,2019-05-15
76749643,2019-05-16
100353024,2019-05-17
62877610,2019-05-20
46847085,2019-05-21
49482472,2019-05-22
98733847,2019-05-23
55268095,2019-05-24
70029356,2019-05-28
104972927,2019-05-29
62523780,2019-05-30
86862782,2019-05-31
96427952,2019-06-03
77231889,2019-06-04
71169717,2019-06-05
69430381,2019-06-06
74272199,2019-06-07
60799053,2019-06-10
58641325,2019-06-11
47096312,2019-06-12
48945156,2019-06-13
52324716,2019-06-14
39205709,2019-06-17
85434823,2019-06-18
78674377,2019-06-19
