volume,DateTime
1578179,2018-06-20
4037572,2018-06-21
3092670,2018-06-22
6690013,2018-06-25
2971320,2018-06-26
3433775,2018-06-27
2638408,2018-06-28
3711575,2018-06-29
1943137,2018-07-02
1157884,2018-07-03
1948090,2018-07-05
2622491,2018-07-06
3979469,2018-07-09
1314531,2018-07-10
2335052,2018-07-11
2874031,2018-07-12
1814928,2018-07-13
993457,2018-07-16
1825871,2018-07-17
2606817,2018-07-18
2050473,2018-07-19
2710786,2018-07-20
1447020,2018-07-23
2916394,2018-07-24
2623349,2018-07-25
2166453,2018-07-26
2666731,2018-07-27
1601425,2018-07-30
1992498,2018-07-31
1651723,2018-08-01
1767326,2018-08-02
2017560,2018-08-03
1842998,2018-08-06
2619229,2018-08-07
1560785,2018-08-08
1084398,2018-08-09
2395462,2018-08-10
3685433,2018-08-13
1531808,2018-08-14
2587788,2018-08-15
1693138,2018-08-16
2278823,2018-08-17
1245462,2018-08-20
1937866,2018-08-21
1708066,2018-08-22
2308144,2018-08-23
2329248,2018-08-24
2370987,2018-08-27
3027196,2018-08-28
2116106,2018-08-29
2625499,2018-08-30
3172354,2018-08-31
3623299,2018-09-04
4595466,2018-09-05
1687900,2018-09-06
2634408,2018-09-07
2832699,2018-09-10
3420386,2018-09-11
3019831,2018-09-12
2087871,2018-09-13
1860996,2018-09-14
2515315,2018-09-17
1823641,2018-09-18
2077480,2018-09-19
3349666,2018-09-20
1352509,2018-09-21
2070891,2018-09-24
2360730,2018-09-25
2568392,2018-09-26
3077514,2018-09-27
1774303,2018-09-28
1969245,2018-10-01
3034122,2018-10-02
2505783,2018-10-03
5004396,2018-10-04
2564702,2018-10-05
3219556,2018-10-08
2078186,2018-10-09
5803925,2018-10-10
9037039,2018-10-11
7116658,2018-10-12
3306202,2018-10-15
3308475,2018-10-16
2845791,2018-10-17
3046804,2018-10-18
2684216,2018-10-19
2101976,2018-10-22
5206532,2018-10-23
4065746,2018-10-24
4443798,2018-10-25
5278769,2018-10-26
5126245,2018-10-29
3619131,2018-10-30
4073392,2018-10-31
2870694,2018-11-01
3184459,2018-11-02
1912193,2018-11-05
2255176,2018-11-06
3090762,2018-11-07
2467027,2018-11-08
3078726,2018-11-09
2710563,2018-11-12
3097001,2018-11-13
3619875,2018-11-14
3903480,2018-11-15
2342780,2018-11-16
2973794,2018-11-19
5000937,2018-11-20
2425494,2018-11-21
830910,2018-11-23
2498530,2018-11-26
2849731,2018-11-27
3723260,2018-11-28
3279417,2018-11-29
2992752,2018-11-30
3942694,2018-12-03
3837367,2018-12-04
7712736,2018-12-06
3928373,2018-12-07
5983702,2018-12-10
4543174,2018-12-11
4117033,2018-12-12
2610765,2018-12-13
5088580,2018-12-14
6127188,2018-12-17
4691397,2018-12-18
8215557,2018-12-19
12141874,2018-12-20
11811553,2018-12-21
8493506,2018-12-24
11597965,2018-12-26
9578360,2018-12-27
7436353,2018-12-28
6683957,2018-12-31
4891329,2019-01-02
3330026,2019-01-03
5100088,2019-01-04
3706014,2019-01-07
3546649,2019-01-08
4564975,2019-01-09
2813503,2019-01-10
2551033,2019-01-11
2653373,2019-01-14
5103721,2019-01-15
4066725,2019-01-16
3058990,2019-01-17
4943293,2019-01-18
5786312,2019-01-22
3076411,2019-01-23
2197083,2019-01-24
3677453,2019-01-25
2407817,2019-01-28
2436863,2019-01-29
6028369,2019-01-30
5308074,2019-01-31
3718458,2019-02-01
2541718,2019-02-04
3613583,2019-02-05
2052224,2019-02-06
3907773,2019-02-07
2512937,2019-02-08
2986595,2019-02-11
5980510,2019-02-12
3569322,2019-02-13
3247823,2019-02-14
2806559,2019-02-15
2509320,2019-02-19
2156348,2019-02-20
2020305,2019-02-21
2119396,2019-02-22
2941301,2019-02-25
4629597,2019-02-26
2136525,2019-02-27
2207061,2019-02-28
2867054,2019-03-01
3384212,2019-03-04
2475939,2019-03-05
2514851,2019-03-06
6441203,2019-03-07
4522303,2019-03-08
1884219,2019-03-11
2272244,2019-03-12
1974278,2019-03-13
1557517,2019-03-14
3151255,2019-03-15
1830005,2019-03-18
4061805,2019-03-19
3415587,2019-03-20
2968299,2019-03-21
4317418,2019-03-22
2893593,2019-03-25
3177622,2019-03-26
2714361,2019-03-27
1716681,2019-03-28
2831325,2019-03-29
3304080,2019-04-01
1512626,2019-04-02
1937471,2019-04-03
1738462,2019-04-04
1504961,2019-04-05
1720280,2019-04-08
2016861,2019-04-09
2990910,2019-04-10
1567704,2019-04-11
1903391,2019-04-12
1584741,2019-04-15
2448023,2019-04-16
1872369,2019-04-17
2789064,2019-04-18
1126745,2019-04-22
2618323,2019-04-23
1393371,2019-04-24
1237409,2019-04-25
2172615,2019-04-26
1892536,2019-04-29
2024551,2019-04-30
2669356,2019-05-01
3009045,2019-05-02
1969316,2019-05-03
3966927,2019-05-06
4752538,2019-05-07
2662696,2019-05-08
3094808,2019-05-09
3132036,2019-05-10
5548217,2019-05-13
4702647,2019-05-14
2444406,2019-05-15
3221513,2019-05-16
2719513,2019-05-17
2762623,2019-05-20
2760813,2019-05-21
3421502,2019-05-22
3813201,2019-05-23
1833053,2019-05-24
2566079,2019-05-28
4593562,2019-05-29
2977192,2019-05-30
3698782,2019-05-31
3825614,2019-06-03
3536293,2019-06-04
2646522,2019-06-05
2277840,2019-06-06
1877426,2019-06-07
2846143,2019-06-10
1894531,2019-06-11
1712276,2019-06-12
1813685,2019-06-13
1203356,2019-06-14
1782613,2019-06-17
2340697,2019-06-18
1684486,2019-06-19
