volume,DateTime
1468385,2018-06-20
1881270,2018-06-21
1226467,2018-06-22
4347684,2018-06-25
2085564,2018-06-26
2958960,2018-06-27
2490646,2018-06-28
1849639,2018-06-29
2825879,2018-07-02
1325978,2018-07-03
2796422,2018-07-05
1756480,2018-07-06
2153146,2018-07-09
1437018,2018-07-10
2042602,2018-07-11
1440593,2018-07-12
1965410,2018-07-13
1571319,2018-07-16
1767208,2018-07-17
1327678,2018-07-18
2034581,2018-07-19
1507878,2018-07-20
1444525,2018-07-23
2340093,2018-07-24
2126581,2018-07-25
2084649,2018-07-26
2535119,2018-07-27
5379740,2018-07-30
2004218,2018-07-31
1524128,2018-08-01
1508735,2018-08-02
1977541,2018-08-03
1802179,2018-08-06
2532728,2018-08-07
1270632,2018-08-08
1233807,2018-08-09
1854313,2018-08-10
1898236,2018-08-13
1784336,2018-08-14
2684923,2018-08-15
1347589,2018-08-16
2188475,2018-08-17
5759790,2018-08-20
2090866,2018-08-21
1169609,2018-08-22
1351215,2018-08-23
1712840,2018-08-24
2126027,2018-08-27
3015535,2018-08-28
2688570,2018-08-29
2150500,2018-08-30
2537512,2018-08-31
2342718,2018-09-04
2772163,2018-09-05
2592428,2018-09-06
2334576,2018-09-07
2156343,2018-09-10
2575399,2018-09-11
2181426,2018-09-12
1906001,2018-09-13
1363920,2018-09-14
1661949,2018-09-17
1665536,2018-09-18
1809967,2018-09-19
1714284,2018-09-20
1986111,2018-09-21
1668813,2018-09-24
2318989,2018-09-25
4903522,2018-09-26
1808332,2018-09-27
1797156,2018-09-28
2719182,2018-10-01
2159458,2018-10-02
2564328,2018-10-03
3220964,2018-10-04
3198024,2018-10-05
2515629,2018-10-08
3690610,2018-10-09
6890284,2018-10-10
11707878,2018-10-11
7981221,2018-10-12
3386416,2018-10-15
3990411,2018-10-16
3148305,2018-10-17
3783811,2018-10-18
2997909,2018-10-19
3220566,2018-10-22
4981584,2018-10-23
6013670,2018-10-24
4885982,2018-10-25
6623856,2018-10-26
5167312,2018-10-29
3675607,2018-10-30
4034663,2018-10-31
3713883,2018-11-01
3171400,2018-11-02
3140186,2018-11-05
2029999,2018-11-06
2781209,2018-11-07
1874791,2018-11-08
2226884,2018-11-09
3530714,2018-11-12
2290533,2018-11-13
2766049,2018-11-14
2617456,2018-11-15
2272315,2018-11-16
3481785,2018-11-19
4627286,2018-11-20
4151435,2018-11-21
1300011,2018-11-23
4699685,2018-11-26
2860130,2018-11-27
6061227,2018-11-28
2895020,2018-11-29
2142095,2018-11-30
3655543,2018-12-03
3917715,2018-12-04
6542944,2018-12-06
4986861,2018-12-07
5046755,2018-12-10
3459208,2018-12-11
3720085,2018-12-12
3298447,2018-12-13
4503463,2018-12-14
7193148,2018-12-17
8065590,2018-12-18
8010824,2018-12-19
13120148,2018-12-20
13605032,2018-12-21
14488502,2018-12-24
12512324,2018-12-26
16128459,2018-12-27
11668682,2018-12-28
9414804,2018-12-31
5093162,2019-01-02
5253273,2019-01-03
4776991,2019-01-04
4485145,2019-01-07
3949427,2019-01-08
6405370,2019-01-09
2685675,2019-01-10
3033939,2019-01-11
2479452,2019-01-14
4542135,2019-01-15
2963158,2019-01-16
4401077,2019-01-17
4224885,2019-01-18
5037882,2019-01-22
3934222,2019-01-23
3785480,2019-01-24
2987329,2019-01-25
4371642,2019-01-28
2975051,2019-01-29
3060684,2019-01-30
3932952,2019-01-31
3225350,2019-02-01
4938202,2019-02-04
2759102,2019-02-05
2945194,2019-02-06
5097572,2019-02-07
2105845,2019-02-08
2337166,2019-02-11
3312319,2019-02-12
2369412,2019-02-13
2731593,2019-02-14
2537630,2019-02-15
2469874,2019-02-19
2357401,2019-02-20
3685264,2019-02-21
1838422,2019-02-22
3919989,2019-02-25
2155194,2019-02-26
2046803,2019-02-27
2275205,2019-02-28
2985134,2019-03-01
3555436,2019-03-04
2838008,2019-03-05
2139572,2019-03-06
2851774,2019-03-07
2327960,2019-03-08
1910401,2019-03-11
1966086,2019-03-12
2013751,2019-03-13
1493994,2019-03-14
2324306,2019-03-15
2489764,2019-03-18
6104611,2019-03-19
2900905,2019-03-20
2949723,2019-03-21
5150985,2019-03-22
3676498,2019-03-25
2861396,2019-03-26
3402785,2019-03-27
2654778,2019-03-28
3614659,2019-03-29
3666802,2019-04-01
4292798,2019-04-02
2404449,2019-04-03
2248427,2019-04-04
1744467,2019-04-05
2130517,2019-04-08
2150772,2019-04-09
2019021,2019-04-10
1794589,2019-04-11
2612084,2019-04-12
2083038,2019-04-15
2953275,2019-04-16
2983878,2019-04-17
2457090,2019-04-18
2148667,2019-04-22
2344183,2019-04-23
1924756,2019-04-24
2428605,2019-04-25
2184506,2019-04-26
2461877,2019-04-29
2224568,2019-04-30
3761540,2019-05-01
2537824,2019-05-02
2147145,2019-05-03
2635339,2019-05-06
4385772,2019-05-07
2492088,2019-05-08
2768002,2019-05-09
3175474,2019-05-10
4242118,2019-05-13
3090493,2019-05-14
2072281,2019-05-15
2319528,2019-05-16
1923948,2019-05-17
1669331,2019-05-20
1438804,2019-05-21
1539829,2019-05-22
2701356,2019-05-23
1381924,2019-05-24
3866068,2019-05-28
2955070,2019-05-29
2621700,2019-05-30
2836563,2019-05-31
4765473,2019-06-03
2767665,2019-06-04
5059723,2019-06-05
2795552,2019-06-06
1668251,2019-06-07
2260005,2019-06-10
1724530,2019-06-11
1729920,2019-06-12
1726623,2019-06-13
1401000,2019-06-14
2506104,2019-06-17
2261097,2019-06-18
4049930,2019-06-19
