volume,DateTime
11655932,2018-06-20
15009796,2018-06-21
28310942,2018-06-22
18380345,2018-06-25
13529149,2018-06-26
20583866,2018-06-27
14285368,2018-06-28
13167937,2018-06-29
15296553,2018-07-02
9308177,2018-07-03
9969537,2018-07-05
9310429,2018-07-06
11059160,2018-07-09
11003761,2018-07-10
19362770,2018-07-11
12568031,2018-07-12
11423091,2018-07-13
11390744,2018-07-16
9753183,2018-07-17
15351520,2018-07-18
16231809,2018-07-19
10861317,2018-07-20
7623849,2018-07-23
10168500,2018-07-24
11037546,2018-07-25
12187385,2018-07-26
12642806,2018-07-27
11394997,2018-07-30
11290711,2018-07-31
11172625,2018-08-01
9689758,2018-08-02
7663337,2018-08-03
8200093,2018-08-06
11798340,2018-08-07
9401055,2018-08-08
15232467,2018-08-09
16977728,2018-08-10
9817144,2018-08-13
10437874,2018-08-14
26400448,2018-08-15
25013734,2018-08-16
11532984,2018-08-17
8345742,2018-08-20
9509139,2018-08-21
9345383,2018-08-22
6468894,2018-08-23
7753284,2018-08-24
6984879,2018-08-27
8393479,2018-08-28
7760446,2018-08-29
9250541,2018-08-30
8909659,2018-08-31
15094743,2018-09-04
9598117,2018-09-05
14406402,2018-09-06
10134371,2018-09-07
8911663,2018-09-10
14281571,2018-09-11
12689419,2018-09-12
11037449,2018-09-13
9494340,2018-09-14
14728899,2018-09-17
10223473,2018-09-18
10911537,2018-09-19
12512374,2018-09-20
13710102,2018-09-21
12784505,2018-09-24
13027568,2018-09-25
12728563,2018-09-26
10672146,2018-09-27
14833073,2018-09-28
12712910,2018-10-01
9468650,2018-10-02
13244803,2018-10-03
15192738,2018-10-04
11983237,2018-10-05
11578674,2018-10-08
16817008,2018-10-09
26405265,2018-10-10
35592112,2018-10-11
23578960,2018-10-12
11590374,2018-10-15
14571389,2018-10-16
15804298,2018-10-17
16587091,2018-10-18
13568442,2018-10-19
12294486,2018-10-22
26477733,2018-10-23
28100195,2018-10-24
25333570,2018-10-25
25579939,2018-10-26
24459846,2018-10-29
26397352,2018-10-30
17287796,2018-10-31
21475811,2018-11-01
21212484,2018-11-02
13231630,2018-11-05
13072117,2018-11-06
16663206,2018-11-07
15145350,2018-11-08
22917818,2018-11-09
18041630,2018-11-12
32732140,2018-11-13
22542111,2018-11-14
15601565,2018-11-15
19755466,2018-11-16
15583829,2018-11-19
26324382,2018-11-20
17330943,2018-11-21
14421770,2018-11-23
16682750,2018-11-26
22264294,2018-11-27
21148228,2018-11-28
14414463,2018-11-29
18129018,2018-11-30
21994116,2018-12-03
18296515,2018-12-04
35356073,2018-12-06
27445717,2018-12-07
23382779,2018-12-10
17241615,2018-12-11
19267357,2018-12-12
15298973,2018-12-13
22893814,2018-12-14
20732300,2018-12-17
26616985,2018-12-18
45548907,2018-12-19
38504384,2018-12-20
37394111,2018-12-21
15605923,2018-12-24
29096971,2018-12-26
24377297,2018-12-27
19437424,2018-12-28
18705301,2018-12-31
24892646,2019-01-02
18024052,2019-01-03
21351479,2019-01-04
18056906,2019-01-07
18692311,2019-01-08
18756783,2019-01-09
19167596,2019-01-10
14105948,2019-01-11
13191739,2019-01-14
9821467,2019-01-15
12541129,2019-01-16
10174827,2019-01-17
14531758,2019-01-18
19863168,2019-01-22
23367653,2019-01-23
13049182,2019-01-24
10233586,2019-01-25
12022744,2019-01-28
11884145,2019-01-29
12116611,2019-01-30
17844177,2019-01-31
14772410,2019-02-01
10108051,2019-02-04
7852677,2019-02-05
6803809,2019-02-06
14600475,2019-02-07
10634406,2019-02-08
12497386,2019-02-11
10677292,2019-02-12
13061653,2019-02-13
10213409,2019-02-14
10183838,2019-02-15
8721631,2019-02-19
9935693,2019-02-20
11866116,2019-02-21
9948258,2019-02-22
15904458,2019-02-25
10550682,2019-02-26
10294013,2019-02-27
11249407,2019-02-28
20327998,2019-03-01
19780305,2019-03-04
15807549,2019-03-05
22690923,2019-03-06
23446166,2019-03-07
15621533,2019-03-08
13212089,2019-03-11
11013139,2019-03-12
13206790,2019-03-13
12320420,2019-03-14
12427359,2019-03-15
10067909,2019-03-18
12525956,2019-03-19
13662863,2019-03-20
17878046,2019-03-21
19974975,2019-03-22
12346537,2019-03-25
11516543,2019-03-26
9582647,2019-03-27
9149159,2019-03-28
10037621,2019-03-29
12411747,2019-04-01
11152432,2019-04-02
11989787,2019-04-03
10504382,2019-04-04
17269238,2019-04-05
10602138,2019-04-08
14541926,2019-04-09
9375986,2019-04-10
10914234,2019-04-11
15426841,2019-04-12
8300980,2019-04-15
8130337,2019-04-16
10934622,2019-04-17
9759653,2019-04-18
14164657,2019-04-22
10212221,2019-04-23
11019051,2019-04-24
12060913,2019-04-25
16838386,2019-04-26
12974541,2019-04-29
14327153,2019-04-30
22155991,2019-05-01
28033012,2019-05-02
19624559,2019-05-03
20344657,2019-05-06
15064718,2019-05-07
9823707,2019-05-08
14409544,2019-05-09
13074954,2019-05-10
14070022,2019-05-13
9241956,2019-05-14
10092343,2019-05-15
9376619,2019-05-16
10555799,2019-05-17
8186324,2019-05-20
18380450,2019-05-21
9637121,2019-05-22
23963613,2019-05-23
10153381,2019-05-24
12930642,2019-05-28
16951585,2019-05-29
15173861,2019-05-30
21898542,2019-05-31
18024661,2019-06-03
14743427,2019-06-04
15882054,2019-06-05
32393915,2019-06-06
15774071,2019-06-07
9837825,2019-06-10
9522629,2019-06-11
13816452,2019-06-12
12191939,2019-06-13
7916416,2019-06-14
8795248,2019-06-17
17222144,2019-06-18
8827665,2019-06-19
