volume,DateTime
11975928,2018-06-20
15497833,2018-06-21
13657361,2018-06-22
23091537,2018-06-25
11351851,2018-06-26
19853403,2018-06-27
15329838,2018-06-28
14907976,2018-06-29
14098693,2018-07-02
7083332,2018-07-03
8465722,2018-07-05
9757529,2018-07-06
13033985,2018-07-09
9880441,2018-07-10
14207965,2018-07-11
12705631,2018-07-12
18494295,2018-07-13
9576084,2018-07-16
7326022,2018-07-17
13821348,2018-07-18
8790004,2018-07-19
7922415,2018-07-20
7822045,2018-07-23
12140416,2018-07-24
17967872,2018-07-25
15115428,2018-07-26
11281629,2018-07-27
13423598,2018-07-30
17709453,2018-07-31
14214593,2018-08-01
10812428,2018-08-02
11021674,2018-08-03
5460333,2018-08-06
8381937,2018-08-07
4745182,2018-08-08
13085874,2018-08-09
10684816,2018-08-10
13471775,2018-08-13
8500515,2018-08-14
20329384,2018-08-15
10447180,2018-08-16
13993103,2018-08-17
8239331,2018-08-20
10033984,2018-08-21
7149661,2018-08-22
8336522,2018-08-23
6411553,2018-08-24
9767530,2018-08-27
8440645,2018-08-28
6339043,2018-08-29
10145635,2018-08-30
7192428,2018-08-31
8597691,2018-09-04
10761284,2018-09-05
8082965,2018-09-06
11039720,2018-09-07
9550246,2018-09-10
6945629,2018-09-11
10906171,2018-09-12
8848986,2018-09-13
8478536,2018-09-14
8368638,2018-09-17
8691444,2018-09-18
7938275,2018-09-19
11466861,2018-09-20
15133937,2018-09-21
11999602,2018-09-24
12369579,2018-09-25
11426216,2018-09-26
8504177,2018-09-27
7545351,2018-09-28
16832131,2018-10-01
8524037,2018-10-02
10534891,2018-10-03
12521034,2018-10-04
14165540,2018-10-05
9359667,2018-10-08
11606904,2018-10-09
34050401,2018-10-10
54550493,2018-10-11
29409772,2018-10-12
15201219,2018-10-15
12547323,2018-10-16
15610606,2018-10-17
19139268,2018-10-18
17152370,2018-10-19
13675531,2018-10-22
25139942,2018-10-23
22170917,2018-10-24
23871513,2018-10-25
34330876,2018-10-26
23645624,2018-10-29
23445831,2018-10-30
14205471,2018-10-31
22653848,2018-11-01
23216442,2018-11-02
17524352,2018-11-05
15588995,2018-11-06
14217774,2018-11-07
11967438,2018-11-08
23409062,2018-11-09
10822335,2018-11-12
16032159,2018-11-13
18374116,2018-11-14
24411606,2018-11-15
15156011,2018-11-16
14365307,2018-11-19
18024908,2018-11-20
10846049,2018-11-21
6205521,2018-11-23
12896350,2018-11-26
14431248,2018-11-27
14139681,2018-11-28
12997957,2018-11-29
16428124,2018-11-30
19551093,2018-12-03
20580524,2018-12-04
28326215,2018-12-06
19238288,2018-12-07
25360052,2018-12-10
18475738,2018-12-11
14776421,2018-12-12
15917813,2018-12-13
14806200,2018-12-14
19796763,2018-12-17
15665189,2018-12-18
23553264,2018-12-19
25709873,2018-12-20
28744234,2018-12-21
15800225,2018-12-24
17549022,2018-12-26
13980668,2018-12-27
15917228,2018-12-28
10068931,2018-12-31
14687529,2019-01-02
25976240,2019-01-03
19883639,2019-01-04
15193145,2019-01-07
23069774,2019-01-08
10036734,2019-01-09
8900490,2019-01-10
10691276,2019-01-11
10105477,2019-01-14
12517456,2019-01-15
12029894,2019-01-16
22922580,2019-01-17
20020208,2019-01-18
15935259,2019-01-22
13243826,2019-01-23
10361834,2019-01-24
13065935,2019-01-25
13143954,2019-01-28
12384037,2019-01-29
16892456,2019-01-30
13867112,2019-01-31
11844953,2019-02-01
7688416,2019-02-04
9079115,2019-02-05
15557618,2019-02-06
15611371,2019-02-07
15977037,2019-02-08
7909836,2019-02-11
8909762,2019-02-12
8134248,2019-02-13
11703773,2019-02-14
9593226,2019-02-15
7994791,2019-02-19
8911369,2019-02-20
6782680,2019-02-21
9816903,2019-02-22
10108504,2019-02-25
11731052,2019-02-26
8033257,2019-02-27
8531259,2019-02-28
12786614,2019-03-01
19150433,2019-03-04
13820552,2019-03-05
18468355,2019-03-06
19104699,2019-03-07
14341278,2019-03-08
15298295,2019-03-11
17995791,2019-03-12
13387866,2019-03-13
9636528,2019-03-14
24900046,2019-03-15
10313893,2019-03-18
10778218,2019-03-19
11259449,2019-03-20
10638633,2019-03-21
18004399,2019-03-22
12372760,2019-03-25
10523982,2019-03-26
10556131,2019-03-27
10030122,2019-03-28
10138768,2019-03-29
15530976,2019-04-01
10397617,2019-04-02
12726012,2019-04-03
9236642,2019-04-04
7531373,2019-04-05
8819137,2019-04-08
9814477,2019-04-09
13974689,2019-04-10
9532153,2019-04-11
11175121,2019-04-12
7368111,2019-04-15
7101573,2019-04-16
10363901,2019-04-17
13192661,2019-04-18
6477790,2019-04-22
13760481,2019-04-23
7718026,2019-04-24
12555935,2019-04-25
12262594,2019-04-26
8759251,2019-04-29
9546653,2019-04-30
16918680,2019-05-01
16360969,2019-05-02
12904073,2019-05-03
11928825,2019-05-06
18356220,2019-05-07
16464956,2019-05-08
14923662,2019-05-09
17419836,2019-05-10
20011033,2019-05-13
11318011,2019-05-14
12289963,2019-05-15
7450005,2019-05-16
16305654,2019-05-17
11638491,2019-05-20
10612265,2019-05-21
9114746,2019-05-22
16205768,2019-05-23
11127434,2019-05-24
11263080,2019-05-28
14257069,2019-05-29
10103505,2019-05-30
13718389,2019-05-31
17514954,2019-06-03
16424739,2019-06-04
12865641,2019-06-05
11387334,2019-06-06
9234296,2019-06-07
9513873,2019-06-10
11936562,2019-06-11
5612474,2019-06-12
6987036,2019-06-13
5966596,2019-06-14
7708766,2019-06-17
12506299,2019-06-18
11171676,2019-06-19
