volume,DateTime
11465613,2018-06-20
14817113,2018-06-21
15739988,2018-06-22
18027741,2018-06-25
13862844,2018-06-26
22054604,2018-06-27
17799048,2018-06-28
10009814,2018-06-29
12545908,2018-07-02
6361411,2018-07-03
13659996,2018-07-05
12802009,2018-07-06
8727604,2018-07-09
11493129,2018-07-10
12975071,2018-07-11
11853325,2018-07-12
9258443,2018-07-13
6665953,2018-07-16
7451575,2018-07-17
7081957,2018-07-18
7455318,2018-07-19
7219886,2018-07-20
12575508,2018-07-23
10778640,2018-07-24
15288805,2018-07-25
12547190,2018-07-26
31777544,2018-07-27
17847711,2018-07-30
14977005,2018-07-31
14661395,2018-08-01
13104923,2018-08-02
7245702,2018-08-03
7500345,2018-08-06
10272737,2018-08-07
7099160,2018-08-08
11723235,2018-08-09
11569162,2018-08-10
12064769,2018-08-13
9179535,2018-08-14
17792225,2018-08-15
9104839,2018-08-16
9024155,2018-08-17
10619833,2018-08-20
8002432,2018-08-21
6371245,2018-08-22
9367818,2018-08-23
6557635,2018-08-24
8207455,2018-08-27
7385363,2018-08-28
11182347,2018-08-29
10520312,2018-08-30
10269170,2018-08-31
11073920,2018-09-04
16426553,2018-09-05
13978783,2018-09-06
14230964,2018-09-07
16654881,2018-09-10
13595012,2018-09-11
16268233,2018-09-12
12727444,2018-09-13
9439156,2018-09-14
14792111,2018-09-17
9650997,2018-09-18
10435469,2018-09-19
13700995,2018-09-20
23020545,2018-09-21
17256802,2018-09-24
10550528,2018-09-25
13320561,2018-09-26
14233197,2018-09-27
11710568,2018-09-28
10334066,2018-10-01
14006955,2018-10-02
13292564,2018-10-03
23292417,2018-10-04
22288724,2018-10-05
19973003,2018-10-08
15138932,2018-10-09
44142990,2018-10-10
68269507,2018-10-11
35909369,2018-10-12
19152748,2018-10-15
20999283,2018-10-16
24164921,2018-10-17
22960568,2018-10-18
22141736,2018-10-19
15981011,2018-10-22
24066081,2018-10-23
34165356,2018-10-24
23377176,2018-10-25
42743594,2018-10-26
34055312,2018-10-29
30560929,2018-10-30
21144140,2018-10-31
15553097,2018-11-01
20213140,2018-11-02
14208230,2018-11-05
9134209,2018-11-06
16314800,2018-11-07
10409749,2018-11-08
12941931,2018-11-09
16431059,2018-11-12
15703538,2018-11-13
19496735,2018-11-14
26301445,2018-11-15
17973021,2018-11-16
19198619,2018-11-19
28064763,2018-11-20
16503284,2018-11-21
5338114,2018-11-23
12534629,2018-11-26
11538209,2018-11-27
16609706,2018-11-28
14115418,2018-11-29
16509839,2018-11-30
16231664,2018-12-03
20991080,2018-12-04
21578006,2018-12-06
19937805,2018-12-07
20447973,2018-12-10
15813349,2018-12-11
16928906,2018-12-12
12819551,2018-12-13
15516205,2018-12-14
23263471,2018-12-17
19626573,2018-12-18
33606339,2018-12-19
39501833,2018-12-20
41613704,2018-12-21
21117015,2018-12-24
29060164,2018-12-26
23438844,2018-12-27
19843317,2018-12-28
16860072,2018-12-31
15442924,2019-01-02
24946730,2019-01-03
20767979,2019-01-04
11908943,2019-01-07
13002603,2019-01-08
14022385,2019-01-09
10934086,2019-01-10
7725602,2019-01-11
7242062,2019-01-14
14326996,2019-01-15
9468643,2019-01-16
10128415,2019-01-17
13651550,2019-01-18
14992512,2019-01-22
9576120,2019-01-23
14170898,2019-01-24
10030815,2019-01-25
9662469,2019-01-28
8573987,2019-01-29
16995325,2019-01-30
18250916,2019-01-31
9737796,2019-02-01
7604287,2019-02-04
12060664,2019-02-05
10189649,2019-02-06
14632128,2019-02-07
8488796,2019-02-08
7434660,2019-02-11
9709099,2019-02-12
9120886,2019-02-13
9742013,2019-02-14
7356002,2019-02-15
8319114,2019-02-19
9852085,2019-02-20
9754061,2019-02-21
12246686,2019-02-22
20170501,2019-02-25
14133959,2019-02-26
9777532,2019-02-27
9438331,2019-02-28
12334027,2019-03-01
15826472,2019-03-04
8953880,2019-03-05
13122115,2019-03-06
18498286,2019-03-07
12890714,2019-03-08
14577194,2019-03-11
18050877,2019-03-12
17833630,2019-03-13
10656663,2019-03-14
21024520,2019-03-15
14837637,2019-03-18
16153202,2019-03-19
13704293,2019-03-20
27274148,2019-03-21
26747361,2019-03-22
21946894,2019-03-25
13965286,2019-03-26
15831176,2019-03-27
10539704,2019-03-28
14347178,2019-03-29
12590504,2019-04-01
11787177,2019-04-02
13869223,2019-04-03
11503077,2019-04-04
6709785,2019-04-05
7309911,2019-04-08
13440126,2019-04-09
8617805,2019-04-10
7697338,2019-04-11
8555372,2019-04-12
9910693,2019-04-15
9609547,2019-04-16
12247872,2019-04-17
11491949,2019-04-18
8084368,2019-04-22
16693005,2019-04-23
10938268,2019-04-24
11387585,2019-04-25
11050219,2019-04-26
10613331,2019-04-29
18842869,2019-04-30
15446826,2019-05-01
24988752,2019-05-02
13288420,2019-05-03
13022479,2019-05-06
20625711,2019-05-07
13667465,2019-05-08
19300910,2019-05-09
19596295,2019-05-10
25461207,2019-05-13
18404280,2019-05-14
15048875,2019-05-15
15444976,2019-05-16
13543996,2019-05-17
14673932,2019-05-20
14841128,2019-05-21
11521081,2019-05-22
16085696,2019-05-23
11750019,2019-05-24
25772770,2019-05-28
14754806,2019-05-29
11420530,2019-05-30
12039782,2019-05-31
19703698,2019-06-03
15096174,2019-06-04
14395841,2019-06-05
11922461,2019-06-06
11992069,2019-06-07
13463779,2019-06-10
11550125,2019-06-11
7596943,2019-06-12
9867761,2019-06-13
8441689,2019-06-14
9351130,2019-06-17
16181183,2019-06-18
12371290,2019-06-19
