DateTime,volume_IVV,volume_RSP,volume_SCHX,volume_SPY,volume_VOO,volume_VTI,volume_XLE,volume_XLI,volume_XLK
2018-06-20,2562890,443071,560082,53785486,1578179,1468385,11655932,11975928,11465613
2018-06-21,2569212,292002,647588,71061404,4037572,1881270,15009796,15497833,14817113
2018-06-22,2298098,589788,532365,56612003,3092670,1226467,28310942,13657361,15739988
2018-06-25,5407421,865821,1560535,137854162,6690013,4347684,18380345,23091537,18027741
2018-06-26,2690814,497230,831806,68683211,2971320,2085564,13529149,11351851,13862844
2018-06-27,6335395,597525,1022170,105110674,3433775,2958960,20583866,19853403,22054604
2018-06-28,5285802,535937,1257525,76650517,2638408,2490646,14285368,15329838,17799048
2018-06-29,7694371,740935,768511,97592499,3711575,1849639,13167937,14907976,10009814
2018-07-02,4579718,889804,1497191,63554774,1943137,2825879,15296553,14098693,12545908
2018-07-03,1367814,310724,893330,42187071,1157884,1325978,9308177,7083332,6361411
2018-07-05,2605662,476492,719472,56925919,1948090,2796422,9969537,8465722,13659996
2018-07-06,2942161,584279,939000,66493696,2622491,1756480,9310429,9757529,12802009
2018-07-09,4775363,421243,923883,50550399,3979469,2153146,11059160,13033985,8727604
2018-07-10,3426772,557886,13570521,51966829,1314531,1437018,11003761,9880441,11493129
2018-07-11,3781287,317999,773501,77054739,2335052,2042602,19362770,14207965,12975071
2018-07-12,3444871,665216,1631219,60124687,2874031,1440593,12568031,12705631,11853325
2018-07-13,3122705,384320,798684,48234964,1814928,1965410,11423091,18494295,9258443
2018-07-16,2224098,572213,740443,48201038,993457,1571319,11390744,9576084,6665953
2018-07-17,2322582,322457,648369,52315500,1825871,1767208,9753183,7326022,7451575
2018-07-18,3603936,280671,583461,44593465,2606817,1327678,15351520,13821348,7081957
2018-07-19,3220915,483613,742928,61412117,2050473,2034581,16231809,8790004,7455318
2018-07-20,4868554,208327,647089,82372729,2710786,1507878,10861317,7922415,7219886
2018-07-23,1880195,206256,971560,47047565,1447020,1444525,7623849,7822045,12575508
2018-07-24,2253020,1505295,971679,68026935,2916394,2340093,10168500,12140416,10778640
2018-07-25,3310845,447647,1201049,78882927,2623349,2126581,11037546,17967872,15288805
2018-07-26,4088761,377104,724640,57919495,2166453,2084649,12187385,15115428,12547190
2018-07-27,2798143,301317,1059967,76783177,2666731,2535119,12642806,11281629,31777544
2018-07-30,4929771,303802,1169494,63742508,1601425,5379740,11394997,13423598,17847711
2018-07-31,3588979,1085687,649982,68570493,1992498,2004218,11290711,17709453,14977005
2018-08-01,2679918,405390,1255739,53853326,1651723,1524128,11172625,14214593,14661395
2018-08-02,2327589,383336,892310,63426363,1767326,1508735,9689758,10812428,13104923
2018-08-03,2257880,309505,1058301,53935386,2017560,1977541,7663337,11021674,7245702
2018-08-06,2988646,398230,741188,39400887,1842998,1802179,8200093,5460333,7500345
2018-08-07,5084693,451561,933629,43196646,2619229,2532728,11798340,8381937,10272737
2018-08-08,3483848,277255,613864,42114551,1560785,1270632,9401055,4745182,7099160
2018-08-09,2385494,291628,670775,35716976,1084398,1233807,15232467,13085874,11723235
2018-08-10,3290460,319400,689522,77076044,2395462,1854313,16977728,10684816,11569162
2018-08-13,3350506,1100274,1302907,65732909,3685433,1898236,9817144,13471775,12064769
2018-08-14,3217646,286796,1083655,43842031,1531808,1784336,10437874,8500515,9179535
2018-08-15,3849143,396467,947803,102925355,2587788,2684923,26400448,20329384,17792225
2018-08-16,3367951,366553,983945,69967919,1693138,1347589,25013734,10447180,9104839
2018-08-17,2975882,275573,682030,65618481,2278823,2188475,11532984,13993103,9024155
2018-08-20,1853387,399877,1878462,39807490,1245462,5759790,8345742,8239331,10619833
2018-08-21,2667495,345151,919340,67271983,1937866,2090866,9509139,10033984,8002432
2018-08-22,2124552,331614,632359,44993333,1708066,1169609,9345383,7149661,6371245
2018-08-23,3325680,273605,771797,49204851,2308144,1351215,6468894,8336522,9367818
2018-08-24,2451902,206487,812530,57487399,2329248,1712840,7753284,6411553,6557635
2018-08-27,3759731,1752963,957412,57072377,2370987,2126027,6984879,9767530,8207455
2018-08-28,3556431,1666631,894035,46943472,3027196,3015535,8393479,8440645,7385363
2018-08-29,2806114,767837,816299,61485514,2116106,2688570,7760446,6339043,11182347
2018-08-30,4669411,399375,894999,61229501,2625499,2150500,9250541,10145635,10520312
2018-08-31,4983154,376171,979469,66140838,3172354,2537512,8909659,7192428,10269170
2018-09-04,3480540,718236,846423,57594367,3623299,2342718,15094743,8597691,11073920
2018-09-05,7530358,430405,1191082,72452437,4595466,2772163,9598117,10761284,16426553
2018-09-06,3839069,579305,1230215,65909863,1687900,2592428,14406402,8082965,13978783
2018-09-07,5450954,474649,1683654,73524824,2634408,2334576,10134371,11039720,14230964
2018-09-10,2767746,443911,732650,50210903,2832699,2156343,8911663,9550246,16654881
2018-09-11,3015630,1394090,780243,50530492,3420386,2575399,14281571,6945629,13595012
2018-09-12,2634441,2768846,748536,59810758,3019831,2181426,12689419,10906171,16268233
2018-09-13,1818048,1525745,679025,51034222,2087871,1906001,11037449,8848986,12727444
2018-09-14,2616866,423334,947794,55079875,1860996,1363920,9494340,8478536,9439156
2018-09-17,2466908,372363,696610,68244043,2515315,1661949,14728899,8368638,14792111
2018-09-18,2520105,478315,1097383,61930407,1823641,1665536,10223473,8691444,9650997
2018-09-19,2354185,514846,672039,49080562,2077480,1809967,10911537,7938275,10435469
